user_id,day_type,transport_mode,distance_km,electricity_kwh,renewable_usage_pct,food_type,screen_time_hours,waste_generated_kg,eco_actions,carbon_footprint_kg,carbon_impact_level
7,Weekend,Car,7.23,6.75,75,Non-Veg,8.9,0.53,1,8.64,Medium
7,Weekday,EV,9.32,7.85,75,Non-Veg,8.0,0.98,1,8.26,Medium
8,Weekday,Car,10.24,9.8,0,Veg,8.3,0.87,1,12.83,High
8,Weekday,Bus,13.3,7.21,100,Non-Veg,6.0,0.71,0,7.41,Medium
8,Weekday,Walk,20.37,9.62,50,Non-Veg,7.5,0.63,1,9.8,Medium
8,Weekend,Bus,3.2,7.43,25,Mixed,5.1,0.81,0,9.3,Medium
8,Weekday,Walk,15.22,8.19,50,Non-Veg,2.7,0.76,0,9.77,Medium
8,Weekend,Walk,4.27,7.82,75,Mixed,6.9,1.1,3,5.22,Low
8,Weekend,Car,4.09,3.78,75,Veg,2.8,1.18,1,4.65,Low
9,Weekday,Car,13.29,4.4,50,Non-Veg,6.1,0.67,0,10.89,Medium
9,Weekday,Bike,13.61,5.27,100,Non-Veg,2.1,0.78,1,6.03,Medium
9,Weekday,EV,12.28,7.66,100,Non-Veg,2.5,0.78,2,6.13,Medium
9,Weekend,Bus,6.22,9.76,25,Veg,8.3,0.53,0,9.14,Medium
9,Weekday,Bus,11.56,7.64,50,Veg,3.9,0.66,1,6.45,Medium
9,Weekend,Walk,0.58,2.44,75,Veg,6.8,0.76,0,3.41,Low
9,Weekday,Car,6.72,9.18,75,Non-Veg,8.1,0.92,1,9.5,Medium
10,Weekend,Car,4.12,6.95,75,Mixed,7.9,0.72,1,6.26,Medium
10,Weekday,Walk,11.57,6.24,75,Mixed,7.7,1.04,2,5.23,Low
10,Weekday,Walk,13.25,4.42,100,Mixed,6.2,0.71,0,4.35,Low
10,Weekend,EV,10.24,9.11,25,Veg,2.8,0.79,3,7.76,Medium
10,Weekday,Bike,20.19,8.19,25,Mixed,2.9,0.77,0,9.46,Medium
10,Weekday,Walk,14.58,8.8,50,Mixed,3.5,0.95,1,7.85,Medium
10,Weekend,Bike,0.5,5.85,25,Veg,7.5,0.88,1,6.26,Medium
11,Weekend,Car,5.94,8.74,0,Veg,5.2,0.85,1,11.03,High
11,Weekday,Walk,13.61,7.08,0,Veg,2.9,0.84,0,8.81,Medium
11,Weekday,Walk,13.47,5.61,0,Mixed,4.4,0.84,1,8.71,Medium
11,Weekday,EV,15.82,6.35,0,Non-Veg,2.6,0.69,0,12.17,High
11,Weekday,Car,6.26,6.96,25,Veg,5.5,0.83,2,7.79,Medium
11,Weekend,Bus,6.17,7.1,75,Veg,7.2,0.81,0,4.92,Low
11,Weekday,EV,9.81,5.09,25,Mixed,6.3,0.73,1,7.5,Medium
12,Weekday,EV,3.23,6.15,25,Mixed,5.7,0.66,0,8.2,Medium
12,Weekend,Bike,12.1,2.0,0,Non-Veg,3.9,0.56,1,7.41,Medium
12,Weekend,Walk,5.81,3.72,75,Non-Veg,6.2,0.53,2,6.09,Medium
12,Weekend,Bus,6.31,3.56,25,Mixed,7.2,0.39,0,6.66,Medium
12,Weekend,Bike,5.24,7.62,25,Veg,4.5,0.33,2,6.29,Medium
12,Weekday,EV,9.4,4.23,0,Veg,4.0,0.61,2,5.77,Low
12,Weekday,EV,8.68,5.81,75,Veg,7.7,0.58,0,4.23,Low
13,Weekday,Bike,14.11,5.19,25,Mixed,6.0,0.75,0,7.59,Medium
13,Weekday,Bus,8.95,3.44,25,Veg,3.7,0.2,0,5.07,Low
13,Weekend,EV,0.5,6.25,25,Veg,3.1,1.12,0,7.21,Medium
13,Weekend,Bus,0.5,3.27,0,Mixed,8.9,0.48,1,6.4,Medium
13,Weekend,Bus,9.34,2.78,50,Mixed,6.2,0.1,2,4.71,Low
13,Weekday,Walk,8.81,5.12,0,Non-Veg,2.5,0.58,3,9.19,Medium
13,Weekday,Bike,9.62,5.87,0,Non-Veg,3.1,0.67,1,10.72,Medium
14,Weekend,EV,10.14,9.52,25,Non-Veg,4.6,0.78,1,12.29,High
14,Weekend,Walk,6.07,10.38,0,Non-Veg,8.3,1.02,2,14.44,High
14,Weekday,Car,3.16,7.66,0,Mixed,3.0,0.97,2,10.81,Medium
14,Weekday,Walk,12.73,7.8,0,Non-Veg,4.2,1.02,0,13.13,High
14,Weekday,Bus,8.58,10.08,75,Non-Veg,4.4,0.94,1,8.98,Medium
14,Weekday,Bike,17.15,6.56,0,Non-Veg,3.6,1.05,2,11.34,High
14,Weekday,Bike,15.89,5.97,0,Mixed,8.4,0.61,1,8.72,Medium
15,Weekday,Walk,12.72,10.62,50,Non-Veg,2.1,1.04,2,10.3,Medium
15,Weekday,Bike,14.36,9.25,25,Non-Veg,7.2,0.95,3,11.13,High
15,Weekend,Car,6.22,7.83,25,Mixed,4.8,0.65,1,10.01,Medium
15,Weekend,Bus,4.29,4.04,25,Veg,8.4,0.35,1,4.85,Low
15,Weekday,Bike,10.66,8.87,0,Mixed,5.2,0.63,1,11.13,High
15,Weekend,Walk,4.91,5.45,25,Mixed,6.4,0.82,0,7.84,Medium
15,Weekend,EV,1.93,6.79,100,Non-Veg,3.0,0.52,2,5.41,Low
16,Weekday,Walk,11.34,3.03,75,Mixed,3.4,0.65,0,4.91,Low
16,Weekend,Car,5.87,3.46,25,Non-Veg,2.5,0.47,1,9.02,Medium
16,Weekday,Car,18.02,6.68,0,Veg,3.3,0.1,3,10.19,Medium
16,Weekday,Bus,7.56,7.6,0,Non-Veg,3.1,0.71,0,13.18,High
16,Weekday,Walk,17.09,3.17,50,Non-Veg,2.1,0.37,0,7.25,Medium
16,Weekend,Bus,3.9,5.32,50,Non-Veg,3.7,0.47,3,7.36,Medium
16,Weekday,Bus,10.5,2.5,0,Veg,8.3,0.64,0,5.66,Low
17,Weekday,Walk,13.3,2.26,25,Mixed,8.2,0.42,0,5.39,Low
17,Weekday,Walk,16.2,6.88,0,Non-Veg,6.4,0.18,1,10.95,Medium
17,Weekday,Car,4.99,3.53,75,Non-Veg,7.3,0.72,2,7.33,Medium
17,Weekend,Car,5.88,5.06,50,Non-Veg,3.8,0.18,0,9.03,Medium
17,Weekend,Bike,0.85,4.69,0,Mixed,2.1,0.2,2,6.79,Medium
17,Weekday,Walk,14.21,4.97,50,Non-Veg,6.7,0.72,0,8.4,Medium
17,Weekend,Bus,5.37,5.96,25,Veg,5.6,0.46,1,6.24,Medium
18,Weekday,EV,12.79,3.94,50,Veg,4.1,0.38,1,4.19,Low
18,Weekday,Walk,13.97,5.93,50,Non-Veg,3.5,0.54,1,8.18,Medium
18,Weekend,Bus,6.49,7.67,0,Non-Veg,2.5,0.51,2,12.12,High
18,Weekday,Bike,5.77,4.88,75,Mixed,7.6,0.44,1,4.62,Low
18,Weekday,EV,15.72,3.23,25,Mixed,8.1,0.61,3,5.64,Low
18,Weekend,EV,4.19,6.74,25,Non-Veg,3.5,0.82,0,10.79,Medium
18,Weekday,Walk,12.54,3.66,75,Mixed,8.8,0.86,4,3.69,Low
19,Weekday,Walk,12.38,6.35,0,Non-Veg,2.8,0.88,1,11.37,High
19,Weekday,Car,10.09,6.85,25,Non-Veg,7.5,0.75,1,12.33,High
19,Weekend,Car,7.07,8.79,0,Non-Veg,2.2,0.85,3,14.01,High
19,Weekday,Car,16.26,6.25,25,Mixed,6.4,1.12,3,10.9,Medium
19,Weekend,Car,12.32,6.24,0,Non-Veg,2.8,0.57,0,13.89,High
19,Weekday,Walk,8.33,3.7,50,Mixed,3.5,0.6,2,4.93,Low
19,Weekday,Walk,15.94,6.8,75,Veg,5.3,0.61,1,3.73,Low
20,Weekday,EV,13.53,9.69,25,Mixed,3.6,1.21,0,11.46,High
20,Weekend,EV,3.51,6.59,50,Non-Veg,4.5,1.17,1,9.35,Medium
20,Weekend,Walk,3.72,6.6,0,Non-Veg,5.8,1.01,2,11.33,High
20,Weekend,Bus,4.55,8.64,0,Non-Veg,8.2,0.99,1,13.75,High
20,Weekend,EV,10.33,4.45,0,Veg,7.1,0.63,1,6.42,Medium
20,Weekday,EV,14.78,5.68,0,Veg,8.0,0.19,2,6.68,Medium
20,Weekend,Walk,2.52,8.82,0,Mixed,8.2,1.26,4,10.64,Medium
21,Weekend,Bike,10.27,9.32,50,Mixed,7.3,0.81,1,7.89,Medium
21,Weekend,EV,6.59,7.88,75,Non-Veg,5.6,0.76,0,8.29,Medium
21,Weekday,Bus,15.27,4.53,100,Non-Veg,6.4,0.99,2,7.11,Medium
21,Weekday,Walk,6.6,7.66,100,Mixed,4.4,1.16,2,4.09,Low
21,Weekday,Bus,12.7,7.95,0,Non-Veg,4.1,0.77,1,13.56,High
21,Weekday,EV,12.7,6.35,75,Mixed,8.8,0.87,2,5.55,Low
21,Weekday,EV,18.26,7.09,50,Non-Veg,5.1,0.55,0,9.8,Medium
22,Weekday,EV,3.2,5.22,0,Non-Veg,6.8,0.97,1,10.67,Medium
22,Weekday,Bus,14.6,6.88,25,Non-Veg,6.5,0.52,3,10.32,Medium
22,Weekend,Car,3.23,4.81,75,Mixed,5.3,1.11,1,6.1,Medium
22,Weekend,EV,7.37,7.88,50,Veg,7.9,0.95,0,6.67,Medium
22,Weekend,Car,11.32,9.31,25,Veg,2.8,0.92,0,11.21,High
22,Weekday,EV,9.29,10.3,0,Non-Veg,5.4,0.85,0,15.34,High
22,Weekend,Bike,3.28,5.92,25,Mixed,2.1,1.02,0,8.37,Medium
23,Weekday,EV,21.89,4.72,0,Mixed,6.9,0.73,0,9.12,Medium
23,Weekend,Bus,7.92,3.87,0,Non-Veg,8.9,0.65,0,10.08,Medium
23,Weekend,Walk,15.61,5.57,50,Non-Veg,5.9,0.48,1,7.96,Medium
23,Weekend,Car,6.15,5.29,0,Mixed,6.0,0.51,2,8.94,Medium
23,Weekday,Bike,17.6,7.28,0,Non-Veg,8.6,0.67,4,10.67,Medium
23,Weekend,Bike,3.41,5.82,75,Veg,5.2,0.84,2,3.41,Low
23,Weekday,Walk,9.39,4.74,75,Mixed,3.5,0.76,2,4.58,Low
24,Weekday,Car,9.71,6.86,0,Veg,6.8,0.82,0,10.64,Medium
24,Weekday,Bike,16.36,6.59,50,Veg,7.2,0.42,2,4.4,Low
24,Weekend,Walk,2.39,7.19,25,Veg,7.1,1.0,3,6.43,Medium
24,Weekday,EV,14.61,3.95,75,Non-Veg,3.5,1.09,1,7.8,Medium
24,Weekday,Bike,17.52,7.68,0,Mixed,3.7,0.84,1,10.41,Medium
24,Weekday,Walk,11.9,8.9,0,Mixed,8.1,0.95,1,11.53,High
24,Weekday,Car,0.61,6.14,100,Non-Veg,3.8,0.57,1,5.91,Low
25,Weekend,Car,0.5,6.49,0,Non-Veg,3.2,0.4,2,10.61,Medium
25,Weekday,EV,13.02,9.69,0,Non-Veg,3.2,0.98,0,15.14,High
25,Weekday,Walk,15.39,9.19,25,Non-Veg,7.9,0.89,1,11.81,High
25,Weekend,Bike,11.19,6.4,0,Non-Veg,5.7,0.7,1,11.19,High
25,Weekday,Car,11.48,5.12,75,Non-Veg,4.2,0.7,0,9.8,Medium
25,Weekday,EV,12.04,8.63,25,Mixed,5.6,0.88,2,9.55,Medium
25,Weekend,Bus,2.25,8.14,50,Veg,8.8,0.87,2,5.76,Low
26,Weekday,EV,9.4,6.64,50,Non-Veg,8.1,1.18,1,9.62,Medium
26,Weekday,EV,12.79,7.5,50,Veg,3.5,0.56,1,5.86,Low
26,Weekend,Car,12.52,8.5,50,Non-Veg,6.0,0.73,2,11.69,High
26,Weekend,Bus,10.76,4.48,75,Mixed,7.3,0.72,1,5.75,Low
26,Weekday,Bus,17.5,6.38,0,Veg,4.6,0.78,1,9.17,Medium
26,Weekday,Bike,8.03,2.82,0,Veg,4.6,1.11,1,5.24,Low
26,Weekday,Walk,16.04,8.46,25,Non-Veg,5.4,0.72,0,11.56,High
27,Weekday,Bus,6.44,2.47,25,Non-Veg,5.7,0.91,3,7.42,Medium
27,Weekend,Car,8.26,6.79,0,Mixed,8.5,0.69,0,11.63,High
27,Weekday,EV,11.24,6.42,0,Non-Veg,5.4,0.46,1,11.37,High
27,Weekend,Walk,2.06,2.0,50,Non-Veg,7.0,0.71,0,7.18,Medium
27,Weekday,Bike,8.07,5.02,0,Non-Veg,6.8,0.65,1,10.01,Medium
27,Weekday,Bus,6.66,2.56,100,Non-Veg,5.4,0.72,2,6.1,Medium
27,Weekday,Bike,13.89,5.68,50,Veg,7.7,0.58,0,5.02,Low
28,Weekday,Bike,13.6,8.47,75,Non-Veg,4.5,0.69,0,8.06,Medium
28,Weekend,Bus,3.13,8.01,75,Non-Veg,5.0,0.61,1,7.73,Medium
28,Weekend,Car,7.12,4.26,50,Non-Veg,8.0,0.81,0,9.71,Medium
28,Weekend,Car,10.9,9.32,25,Non-Veg,3.6,1.04,2,13.97,High
28,Weekend,Walk,0.5,4.95,25,Non-Veg,7.0,1.07,2,9.04,Medium
28,Weekday,EV,13.21,5.44,25,Mixed,3.9,0.53,1,7.6,Medium
28,Weekend,Bus,3.15,5.03,75,Mixed,3.6,0.75,3,4.49,Low
29,Weekday,EV,16.91,3.19,100,Non-Veg,6.6,0.96,1,6.93,Medium
29,Weekend,Walk,7.68,6.37,0,Mixed,6.8,0.64,0,9.5,Medium
29,Weekday,Car,8.34,5.51,25,Non-Veg,7.3,0.89,2,10.91,Medium
29,Weekend,Walk,1.14,3.4,100,Mixed,8.5,0.56,2,3.38,Low
29,Weekday,Car,9.0,5.77,50,Mixed,2.9,0.73,1,8.23,Medium
29,Weekend,Walk,8.33,3.44,25,Mixed,2.6,0.45,2,5.35,Low
29,Weekday,Bus,7.59,2.0,50,Mixed,5.6,0.63,2,4.88,Low
30,Weekday,Bus,15.35,7.7,25,Veg,8.1,0.86,3,7.8,Medium
30,Weekend,Bike,5.3,6.19,0,Non-Veg,6.9,0.89,2,10.84,Medium
30,Weekend,EV,5.96,11.99,50,Mixed,3.2,0.82,1,9.24,Medium
30,Weekday,Bus,10.51,5.76,0,Non-Veg,2.2,0.98,1,11.85,High
30,Weekend,Bus,6.22,2.35,0,Veg,6.5,0.94,0,5.55,Low
30,Weekday,EV,18.12,9.74,0,Veg,2.4,0.84,0,11.72,High
30,Weekday,Car,17.96,6.54,0,Non-Veg,4.1,0.8,0,15.59,High
31,Weekend,Walk,6.06,5.38,100,Non-Veg,7.7,0.47,2,5.27,Low
31,Weekend,Bike,9.65,4.23,25,Non-Veg,4.9,0.74,3,7.79,Medium
31,Weekday,EV,9.69,2.03,0,Mixed,3.8,0.67,1,5.96,Low
31,Weekend,Car,7.57,6.66,0,Non-Veg,5.8,0.9,2,12.83,High
31,Weekday,Bike,7.23,6.62,0,Veg,7.2,0.32,1,7.41,Medium
31,Weekday,Bike,10.22,7.2,100,Mixed,7.5,0.82,1,4.09,Low
31,Weekday,Car,5.6,5.96,75,Veg,2.3,0.76,3,4.11,Low
32,Weekday,EV,15.69,6.47,0,Mixed,7.2,0.6,2,9.35,Medium
32,Weekend,EV,6.95,5.59,0,Non-Veg,2.5,0.59,0,11.07,High
32,Weekend,Car,11.2,8.57,50,Veg,3.3,0.62,0,8.6,Medium
32,Weekend,Car,7.13,5.14,50,Mixed,3.9,0.87,1,7.75,Medium
32,Weekend,Walk,11.24,6.92,50,Veg,6.5,0.56,1,5.11,Low
32,Weekend,Bus,11.82,9.65,50,Mixed,7.7,0.58,2,8.29,Medium
32,Weekday,Bus,13.44,4.53,25,Mixed,6.3,0.35,1,7.39,Medium
33,Weekend,Car,6.84,4.34,50,Non-Veg,4.0,0.6,2,8.64,Medium
33,Weekend,Walk,7.06,4.19,75,Veg,7.1,0.86,2,3.09,Low
33,Weekday,Bus,13.31,4.69,75,Mixed,2.3,0.52,2,5.35,Low
33,Weekday,Bus,11.66,6.87,50,Non-Veg,5.8,0.55,1,9.5,Medium
33,Weekend,Bus,8.26,2.0,50,Veg,8.1,0.8,0,4.44,Low
33,Weekend,Car,8.69,4.19,0,Veg,7.1,0.54,1,7.5,Medium
33,Weekday,Car,17.15,3.88,0,Mixed,5.9,0.68,0,11.1,High
34,Weekday,EV,17.79,5.98,0,Non-Veg,7.3,0.93,0,12.23,High
34,Weekday,Bike,8.86,6.65,100,Non-Veg,4.6,0.46,1,5.65,Low
34,Weekday,Bus,10.25,8.59,75,Veg,6.2,0.56,1,4.85,Low
34,Weekend,EV,0.5,7.75,50,Veg,2.7,0.53,1,5.43,Low
34,Weekday,Walk,22.23,8.26,25,Non-Veg,6.2,1.04,2,11.03,High
34,Weekday,Bike,11.97,7.84,0,Veg,2.4,0.86,2,8.67,Medium
34,Weekend,Bike,3.4,3.42,0,Veg,5.0,0.6,0,5.53,Low
35,Weekend,Bus,12.05,6.13,100,Non-Veg,8.5,0.38,2,6.12,Medium
35,Weekend,Bus,13.42,7.06,25,Veg,6.0,0.52,1,7.64,Medium
35,Weekend,EV,0.5,2.88,0,Veg,2.2,0.48,1,4.55,Low
35,Weekend,EV,9.09,6.85,75,Mixed,3.3,0.54,2,5.12,Low
35,Weekend,Walk,5.89,8.18,25,Mixed,7.1,0.46,1,8.69,Medium
35,Weekend,Bike,7.88,6.37,100,Mixed,2.5,0.83,0,4.49,Low
35,Weekday,Car,8.09,3.39,0,Non-Veg,8.3,0.41,2,9.68,Medium
36,Weekday,Bus,8.31,3.49,0,Non-Veg,8.3,0.51,0,9.64,Medium
36,Weekend,Bike,0.5,6.03,0,Veg,8.3,0.53,1,7.18,Medium
36,Weekend,Car,8.06,2.0,50,Mixed,8.9,0.41,0,6.51,Medium
36,Weekday,Walk,7.56,5.46,25,Mixed,5.2,0.53,1,7.1,Medium
36,Weekend,EV,7.39,3.67,0,Mixed,8.0,0.41,1,6.89,Medium
36,Weekend,Car,4.82,4.71,50,Veg,5.8,0.5,1,5.14,Low
36,Weekday,Bike,8.68,3.63,25,Mixed,6.6,0.92,1,6.43,Medium
37,Weekday,Car,11.27,8.52,0,Non-Veg,7.5,0.58,0,15.54,High
37,Weekday,Walk,8.8,8.14,25,Mixed,3.4,0.55,3,7.97,Medium
37,Weekend,Bike,7.27,5.99,50,Mixed,2.2,0.69,2,5.99,Low
37,Weekend,Bus,3.06,6.58,75,Mixed,4.7,0.55,2,4.96,Low
37,Weekend,Bike,0.5,6.41,50,Veg,6.0,0.94,2,4.96,Low
37,Weekday,EV,14.15,6.92,50,Veg,4.2,0.54,2,5.25,Low
37,Weekend,Car,3.81,5.12,75,Veg,6.6,0.67,1,4.25,Low
38,Weekend,EV,1.35,7.42,100,Veg,4.9,1.14,3,2.23,Low
38,Weekend,Bus,5.25,9.15,0,Veg,2.1,1.1,2,10.44,Medium
38,Weekend,Walk,16.36,5.93,75,Veg,7.7,0.98,2,3.59,Low
38,Weekend,EV,11.27,7.16,25,Mixed,4.5,1.12,1,9.3,Medium
38,Weekday,EV,11.91,8.89,0,Veg,3.7,0.97,0,10.93,Medium
38,Weekday,Walk,9.35,3.72,50,Mixed,6.6,0.56,3,4.49,Low
38,Weekend,Walk,10.98,8.05,0,Mixed,6.8,0.7,0,10.94,Medium
39,Weekday,EV,10.39,5.77,75,Mixed,4.0,0.84,1,5.71,Low
39,Weekday,Car,16.05,6.68,75,Veg,8.1,0.3,3,5.9,Low
39,Weekend,Bike,7.09,6.0,25,Mixed,2.8,0.22,2,6.66,Medium
39,Weekend,Car,0.5,3.87,50,Mixed,8.4,0.55,0,5.84,Low
39,Weekend,Bus,4.26,6.18,75,Non-Veg,7.3,0.74,0,8.0,Medium
39,Weekend,Bus,3.89,5.49,0,Mixed,3.7,0.93,0,9.43,Medium
39,Weekend,Bike,0.5,4.3,25,Mixed,4.1,0.77,0,7.07,Medium
40,Weekend,Bus,2.54,8.22,25,Mixed,8.2,1.05,0,10.02,Medium
40,Weekend,Bus,5.58,7.15,50,Non-Veg,2.2,0.88,0,9.94,Medium
40,Weekday,Car,16.65,8.08,0,Non-Veg,2.7,1.1,4,15.34,High
40,Weekday,Walk,1.19,8.67,0,Veg,5.0,0.97,2,9.48,Medium
40,Weekday,Bus,17.49,9.65,50,Mixed,3.7,1.22,1,9.92,Medium
40,Weekday,EV,10.97,3.13,50,Veg,8.7,1.17,2,4.32,Low
40,Weekend,EV,8.44,6.11,25,Mixed,2.3,0.61,0,8.32,Medium
41,Weekday,Walk,6.37,5.05,50,Mixed,4.0,0.62,0,6.32,Medium
41,Weekend,Bus,0.5,7.15,25,Veg,5.6,0.49,0,7.03,Medium
41,Weekday,Bus,11.36,6.4,0,Veg,6.3,0.54,2,8.01,Medium
41,Weekend,Walk,2.82,4.48,25,Non-Veg,5.0,0.48,2,8.02,Medium
41,Weekday,Bus,5.68,6.81,75,Non-Veg,8.7,0.51,0,7.96,Medium
41,Weekday,EV,12.59,5.46,50,Veg,2.8,0.48,1,4.92,Low
41,Weekday,Bus,8.45,4.64,25,Non-Veg,7.3,0.71,2,9.08,Medium
42,Weekend,Car,5.33,6.71,75,Mixed,7.1,0.89,0,7.06,Medium
42,Weekend,Car,1.43,6.53,0,Veg,5.0,0.71,1,8.11,Medium
42,Weekend,Bike,0.5,6.62,0,Veg,7.1,0.53,3,6.87,Medium
42,Weekend,EV,1.23,7.99,0,Non-Veg,7.5,1.02,3,12.12,High
42,Weekend,EV,5.0,7.77,25,Non-Veg,6.2,0.39,2,10.14,Medium
42,Weekend,Walk,4.99,4.15,0,Non-Veg,8.2,0.55,0,9.56,Medium
42,Weekend,Car,4.28,8.7,0,Veg,2.5,1.02,1,10.85,Medium
43,Weekday,Car,5.48,8.93,0,Mixed,8.9,1.15,0,13.36,High
43,Weekday,Bike,10.15,5.78,25,Veg,8.7,0.77,1,6.08,Medium
43,Weekday,Car,11.65,5.97,0,Veg,2.2,0.72,0,10.21,Medium
43,Weekend,Walk,12.39,6.47,75,Mixed,6.2,0.82,2,5.01,Low
43,Weekend,Car,5.57,7.44,25,Non-Veg,4.4,0.54,1,11.49,High
43,Weekday,Bus,12.57,7.79,25,Non-Veg,4.1,0.87,0,12.34,High
43,Weekday,Walk,6.95,5.08,100,Veg,5.9,0.97,0,3.16,Low
44,Weekend,EV,0.5,5.43,25,Veg,9.0,1.14,3,5.53,Low
44,Weekday,Bus,10.21,3.5,0,Veg,5.3,0.37,4,4.53,Low
44,Weekday,Walk,12.96,6.35,0,Non-Veg,7.6,0.6,0,11.43,High
44,Weekday,Bike,11.5,3.69,100,Veg,5.4,0.73,1,2.47,Low
44,Weekend,Bus,10.18,6.95,25,Mixed,5.6,0.53,1,8.83,Medium
44,Weekday,Car,16.78,5.19,50,Mixed,6.0,0.91,1,9.84,Medium
44,Weekend,Car,5.18,5.56,25,Veg,6.4,0.88,1,7.16,Medium
45,Weekday,Bus,16.5,7.62,50,Mixed,2.9,0.5,1,8.14,Medium
45,Weekday,Car,6.48,7.63,0,Mixed,2.1,0.79,3,10.87,Medium
45,Weekday,Car,15.2,7.27,50,Mixed,7.4,0.76,0,10.59,Medium
45,Weekday,Walk,16.28,4.44,25,Mixed,4.8,0.69,0,7.05,Medium
45,Weekday,EV,8.83,5.36,75,Mixed,8.6,0.31,0,5.33,Low
45,Weekend,Bus,6.85,8.54,50,Veg,2.4,0.69,0,6.88,Medium
45,Weekend,Car,0.5,4.54,0,Mixed,4.0,0.86,1,7.96,Medium
46,Weekday,Car,11.22,5.16,50,Non-Veg,4.5,0.59,1,10.28,Medium
46,Weekend,Walk,6.03,6.82,25,Non-Veg,6.1,0.46,1,9.84,Medium
46,Weekday,Car,12.76,6.53,75,Non-Veg,5.9,0.7,1,9.95,Medium
